category_a,category_b,pairtransactioncount,supportab,confidence_atob,confidence_btoa,lift
bed_bath_table,home_comfort,43,0.00043242590935146170,0.004575,0.108312,1.146
construction_tools_lighting,furniture_decor,11,0.00011062058146200183,0.045267,0.001712,0.701
furniture_decor,home_construction,13,0.00013073341445509307,0.002024,0.026585,0.412
baby,cool_stuff,20,0.00020112832993091242,0.006971,0.005529,0.192
baby,toys,19,0.00019107191343436680,0.006623,0.004929,0.171
home_utilities,unknown,14,0.00014078983095163869,0.002394,0.009743,0.166
bed_bath_table,furniture_decor,70,0.00070394915475819347,0.007448,0.010897,0.115
furniture_decor,tools_garden,17,0.00017095908044127556,0.002646,0.004850,0.075
baby,furniture_decor,12,0.00012067699795854745,0.004183,0.001868,0.065
furniture_decor,home_utilities,24,0.00024135399591709490,0.003736,0.004105,0.064
baby,bed_bath_table,17,0.00017095908044127556,0.005925,0.001809,0.063
home_utilities,tools_garden,11,0.00011062058146200183,0.001881,0.003138,0.053
beauty_health,perfumery,11,0.00011062058146200183,0.001250,0.003494,0.039
bed_bath_table,home_utilities,20,0.00020112832993091242,0.002128,0.003421,0.036
home_utilities,sports_leisure,11,0.00011062058146200183,0.001881,0.001434,0.024
beauty_health,sports_leisure,14,0.00014078983095163869,0.001591,0.001825,0.021
beauty_health,bed_bath_table,11,0.00011062058146200183,0.001250,0.001170,0.013
