customer_state,total_sales,order_count,aov,avg_delivery_days
SP,5422798.79,41022,132.19,9
RJ,1897686.02,12655,149.96,15
MG,1629028.83,11457,142.19,12
RS,780546.38,5395,144.68,15
PR,700363.32,4963,141.12,12
SC,535683.08,3590,149.22,15
BA,535459.78,3340,160.32,19
DF,312361.03,2115,147.69,13
GO,305396.50,1990,153.47,16
ES,282062.03,2014,140.05,16
PE,269854.78,1636,164.95,19
CE,237415.10,1316,180.41,21
PA,183675.64,965,190.34,24
MT,170641.95,900,189.60,18
PB,123372.36,530,232.78,21
MA,122016.81,732,166.69,22
MS,121300.48,708,171.33,16
RN,93879.17,478,196.40,20
PI,91678.72,489,187.48,20
AL,83231.83,409,203.50,25
SE,60669.15,342,177.40,22
TO,56038.16,278,201.58,17
RO,46855.03,246,190.47,20
AM,22865.26,147,155.55,27
AC,17059.44,81,210.61,21
AP,13654.30,68,200.80,28
RR,7626.85,43,177.37,30
